,Diseases,Categories,Counts,Rank,percentage_diagnosed,position,position_final_plot
0,CKD,At Risk,114228.0,4,279%,155180.0,98066.0
1,CKD,At Risk (AI),106876.0,3,0%,155180.0,
2,CKD,Diagnosed,40952.0,1,0%,40952.0,
3,CKD,Immediate Risk,7352.0,2,0%,48304.0,
4,Diabetes,At Risk,35964.0,4,100%,71965.0,53983.0
5,Diabetes,At Risk (AI),28200.0,3,0%,71965.0,
6,Diabetes,Diagnosed,36001.0,1,0%,36001.0,
7,Diabetes,Immediate Risk,7764.0,2,0%,43765.0,
8,Dyslipidemia,At Risk,131151.0,4,320%,172155.0,106579.5
9,Dyslipidemia,At Risk (AI),80279.0,3,0%,172155.0,
10,Dyslipidemia,Diagnosed,41004.0,1,0%,41004.0,
11,Dyslipidemia,Immediate Risk,50872.0,2,0%,91876.0,
12,Heart disease,At Risk,80191.0,4,154%,132295.0,92199.5
13,Heart disease,At Risk (AI),80191.0,3,0%,132295.0,
14,Heart disease,Diagnosed,52104.0,1,0%,52104.0,
15,Heart disease,Immediate Risk,0.0,2,0%,52104.0,
16,Hypertension,At Risk,122387.0,4,474%,148189.0,86995.5
17,Hypertension,At Risk (AI),88229.0,3,0%,148189.0,
18,Hypertension,Diagnosed,25802.0,1,0%,25802.0,
19,Hypertension,Immediate Risk,34158.0,2,0%,59960.0,
20,Nash,At Risk,52883.0,4,595%,61777.0,35335.5
21,Nash,At Risk (AI),52883.0,3,0%,61777.0,
22,Nash,Diagnosed,8894.0,1,0%,8894.0,
23,Nash,Immediate Risk,0.0,2,0%,8894.0,
24,Obesity,At Risk,127455.0,4,615%,148186.0,84458.5
25,Obesity,At Risk (AI),85369.0,3,0%,148186.0,
26,Obesity,Diagnosed,20731.0,1,0%,20731.0,
27,Obesity,Immediate Risk,42086.0,2,0%,62817.0,
