MONTH,Year,DISEASE,GENDER,NATIONALITY,AGE_GROUP,Detected Cases
05,2015,Nash,Female,Israeli,50-59,13
11,2018,Dyslipidemia,Male,Israeli,70+,216
09,2018,Dyslipidemia,Female,Israeli,40-49,26
06,2015,Diabetes,Female,Israeli,70+,88
10,2015,CKD,Male,Israeli,70+,130
10,2015,Dyslipidemia,Male,Israeli,70+,134
10,2015,Heart disease,Male,Israeli,70+,201
12,2009,Nash,Female,Israeli,30-39,7
10,2010,Obesity,Female,Israeli,50-59,7
01,2011,Diabetes,Female,Israeli,70+,9
01,2011,CKD,Female,Israeli,70+,27
01,2011,Heart disease,Female,Israeli,70+,16
01,2011,Hypertension,Female,Israeli,70+,14
11,2013,Obesity,Female,Israeli,70+,7
07,2014,Dyslipidemia,Female,Israeli,70+,19
11,2012,Heart disease,Female,Israeli,60-69,49
11,2012,Diabetes,Female,Israeli,60-69,59
09,2012,Obesity,Female,Ethiopian,40-49,1
05,2009,CKD,Female,Israeli,40-49,21
06,2015,Dyslipidemia,Female,Israeli,70+,125
06,2015,CKD,Female,Israeli,70+,111
09,2009,Heart disease,Female,Israeli,70+,274
08,2018,Dyslipidemia,Female,Israeli,70+,221
08,2018,Heart disease,Female,Israeli,70+,186
08,2018,Hypertension,Female,Israeli,70+,133
11,2018,Diabetes,Male,Israeli,70+,96
11,2018,Hypertension,Male,Israeli,70+,129
11,2018,Obesity,Male,Israeli,70+,30
11,2018,Heart disease,Male,Israeli,70+,199
05,2009,Diabetes,Male,Israeli,70+,139
05,2009,Heart disease,Male,Israeli,70+,243
11,2010,CKD,Male,Israeli,70+,17
10,2012,Heart disease,Female,Israeli,60-69,52
08,2017,Dyslipidemia,Female,Israeli,60-69,20
12,2017,CKD,Female,Israeli,60-69,6
06,2009,Diabetes,Female,Israeli,50-59,41
06,2009,Heart disease,Female,Israeli,50-59,30
12,2012,CKD,Female,Israeli,50-59,30
05,2013,Obesity,Female,Israeli,50-59,12
07,2015,Hypertension,Female,Israeli,50-59,14
03,2017,Dyslipidemia,Female,Israeli,50-59,16
04,2012,CKD,Female,Israeli,70+,98
03,2017,Heart disease,Female,Israeli,70+,13
07,2009,Dyslipidemia,Female,Israeli,70+,76
07,2009,Heart disease,Female,Israeli,70+,246
08,2010,CKD,Female,Israeli,70+,19
08,2010,Hypertension,Female,Israeli,70+,18
09,2012,Nash,Female,Israeli,30-39,4
09,2012,Obesity,Female,Israeli,30-39,16
06,2018,Dyslipidemia,Female,Israeli,60-69,91
06,2018,Diabetes,Female,Israeli,60-69,48
06,2018,Obesity,Female,Israeli,60-69,28
06,2019,Nash,Female,Israeli,60-69,2
04,2013,CKD,Female,Israeli,70+,21
04,2013,Dyslipidemia,Female,Israeli,70+,13
04,2013,Nash,Female,Israeli,70+,4
05,2013,Heart disease,Female,Israeli,70+,25
06,2015,Dyslipidemia,Male,Israeli,70+,125
06,2015,Heart disease,Male,Israeli,70+,197
04,2019,CKD,Male,Israeli,70+,19
04,2019,Hypertension,Male,Israeli,70+,16
10,2018,Dyslipidemia,Male,Israeli,50-59,90
10,2018,Diabetes,Male,Israeli,50-59,46
05,2015,Diabetes,Male,Israeli,70+,103
05,2015,CKD,Male,Israeli,70+,154
05,2015,Dyslipidemia,Male,Israeli,70+,120
05,2015,Heart disease,Male,Israeli,70+,195
04,2009,Heart disease,Male,Israeli,50-59,89
05,2009,Dyslipidemia,Female,Israeli,50-59,24
03,2018,Dyslipidemia,Male,Israeli,50-59,91
03,2018,Heart disease,Male,Israeli,50-59,74
06,2015,Dyslipidemia,Female,Israeli,50-59,34
02,2013,Diabetes,Male,Israeli,70+,9
02,2013,CKD,Male,Israeli,70+,21
02,2013,Heart disease,Male,Israeli,70+,24
08,2021,Dyslipidemia,Male,Israeli,70+,4
09,2012,CKD,Male,Israeli,60-69,66
03,2019,Dyslipidemia,Male,Israeli,60-69,24
03,2019,Heart disease,Male,Israeli,60-69,8
05,2009,Heart disease,Female,Israeli,60-69,61
10,2017,Diabetes,Female,Israeli,60-69,10
10,2017,Dyslipidemia,Female,Israeli,60-69,27
09,2017,Obesity,Male,Israeli,30-39,2
06,2012,Obesity,Female,Israeli,70+,28
11,2014,CKD,Female,Israeli,70+,13
11,2014,Hypertension,Female,Israeli,70+,7
12,2014,Heart disease,Female,Israeli,70+,14
06,2009,CKD,Female,Turkish,70+,4
06,2009,Heart disease,Female,Turkish,70+,3
06,2009,Hypertension,Female,Turkish,70+,3
08,2017,Dyslipidemia,Female,Turkish,70+,1
01,2015,Heart disease,Male,Yemeni,50-59,1
01,2016,Dyslipidemia,Male,Yemeni,50-59,1
02,2016,CKD,Male,Yemeni,50-59,1
05,2019,Hypertension,Male,Yemeni,50-59,1
11,2013,CKD,Female,Israeli,60-69,7
11,2013,Hypertension,Female,Israeli,60-69,5
11,2013,Obesity,Female,Israeli,60-69,16
04,2019,Dyslipidemia,Female,Israeli,60-69,24
09,2018,Heart disease,Female,Israeli,70+,178
