,Nationality,count
0,Algerian,2114
1,Argentinian,1937
2,Bilorussian,1120
3,Bulgarian,765
4,Egyptian,1046
5,English,1006
6,Ethiopian,3962
7,French,2092
8,Georgian,442
9,German,1120
10,Hungarian,592
11,Indu,895
12,Iranian,2584
13,Iraqui,3216
14,Israeli,236801
15,Kazakh,682
16,Libyan,835
17,Moldavian,549
18,Moroccan,7914
19,Polonian,2892
20,Rumanian,4891
21,Russian,5422
22,Sirian,462
23,South African,571
24,Tunisian,1119
25,Turkish,1326
26,Ucranian,6417
27,United States,3732
28,Uzbek,1104
29,Yemeni,1473
30,Azerbaijani,631
