month,year,disease,nationality,counts,cumulative sum,monthyear,yearquarter,bianual
01,2009,CKD,Algerian,5,5,2009-01-01,2009 Q1,2008-2009
02,2009,CKD,Algerian,6,11,2009-02-01,2009 Q1,2008-2009
03,2009,CKD,Algerian,10,21,2009-03-01,2009 Q1,2008-2009
04,2009,CKD,Algerian,4,25,2009-04-01,2009 Q1,2008-2009
05,2009,CKD,Algerian,6,31,2009-05-01,2009 Q2,2008-2009
06,2009,CKD,Algerian,5,36,2009-06-01,2009 Q2,2008-2009
07,2009,CKD,Algerian,6,42,2009-07-01,2009 Q2,2008-2009
08,2009,CKD,Algerian,6,48,2009-08-01,2009 Q2,2008-2009
09,2009,CKD,Algerian,6,54,2009-09-01,2009 Q3,2008-2009
10,2009,CKD,Algerian,8,62,2009-10-01,2009 Q3,2008-2009
11,2009,CKD,Algerian,6,68,2009-11-01,2009 Q3,2008-2009
12,2009,CKD,Algerian,5,73,2009-12-01,2009 Q3,2008-2009
02,2010,CKD,Algerian,3,76,2010-02-01,2010 Q1,2010-2011
03,2010,CKD,Algerian,1,77,2010-03-01,2010 Q1,2010-2011
04,2010,CKD,Algerian,1,78,2010-04-01,2010 Q1,2010-2011
09,2010,CKD,Algerian,1,79,2010-09-01,2010 Q3,2010-2011
10,2010,CKD,Algerian,2,81,2010-10-01,2010 Q3,2010-2011
11,2010,CKD,Algerian,1,82,2010-11-01,2010 Q3,2010-2011
12,2010,CKD,Algerian,1,83,2010-12-01,2010 Q3,2010-2011
01,2011,CKD,Algerian,3,86,2011-01-01,2011 Q1,2010-2011
08,2011,CKD,Algerian,1,87,2011-08-01,2011 Q2,2010-2011
09,2011,CKD,Algerian,2,89,2011-09-01,2011 Q3,2010-2011
12,2011,CKD,Algerian,1,90,2011-12-01,2011 Q3,2010-2011
02,2012,CKD,Algerian,1,91,2012-02-01,2012 Q1,2012-2013
03,2012,CKD,Algerian,6,97,2012-03-01,2012 Q1,2012-2013
